open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date
270.06,271.39,262.64,266.61,18748043,271.39,262.64,266.61,270.06,18748043,FB,XNAS,2020-09-11T00:00:00+0000
275.51,279.16,267.0319,268.09,24814669,279.16,267.0319,268.09,275.51,24814669,FB,XNAS,2020-09-10T00:00:00+0000
275.77,278.48,271.35,273.72,22482505,278.48,271.35,273.72,275.77,22482505,FB,XNAS,2020-09-09T00:00:00+0000
271.28,279.3,269.42,271.16,24677850,279.3,269.42,271.16,271.28,24677850,FB,XNAS,2020-09-08T00:00:00+0000
287.25,289,271.14,282.73,29982382,289,271.14,282.73,287.25,29982382,FB,XNAS,2020-09-04T00:00:00+0000
295.99,297.6,283.63,291.12,31448990,297.6,283.63,291.12,295.99,31448990,FB,XNAS,2020-09-03T00:00:00+0000
298.88,303.6,293.05,302.5,23970214,303.6,293.05,302.5,298.88,23970214,FB,XNAS,2020-09-02T00:00:00+0000
294.71,301.49,292.71,295.44,17187628,301.49,292.71,295.44,294.71,17187628,FB,XNAS,2020-09-01T00:00:00+0000
293.95,296.88,291.55,293.2,17210653,296.88,291.55,293.2,293.95,17210653,FB,XNAS,2020-08-31T00:00:00+0000
295,297.23,290.98,293.66,17080624,297.23,290.98,293.66,295,17080624,FB,XNAS,2020-08-28T00:00:00+0000
300.16,301.23,292.02,293.22,30115732,301.23,292.02,293.22,300.16,30115732,FB,XNAS,2020-08-27T00:00:00+0000
284,304.67,284,303.91,68153823,304.67,284,303.91,284,68153823,FB,XNAS,2020-08-26T00:00:00+0000
272.41,283.09,270.2601,280.82,41677553,283.09,270.2601,280.82,272.41,41677553,FB,XNAS,2020-08-25T00:00:00+0000
271.07,277.2478,268.7701,271.39,23554925,277.2478,268.7701,271.39,271.07,23554925,FB,XNAS,2020-08-24T00:00:00+0000
268.69,270.49,266.42,267.01,15332287,270.49,266.42,267.01,268.69,15332287,FB,XNAS,2020-08-21T00:00:00+0000
261.5,269.63,261.46,269.01,20207640,269.63,261.46,269.01,261.5,20207640,FB,XNAS,2020-08-20T00:00:00+0000
261.388,267.908,261.35,262.59,23201794,267.908,261.35,262.59,261.388,23201794,FB,XNAS,2020-08-19T00:00:00+0000
260.95,265.15,259.26,262.34,18595844,265.15,259.26,262.34,260.95,18595844,FB,XNAS,2020-08-18T00:00:00+0000
262.5,264.0973,259.4,261.16,13303174,264.0973,259.4,261.16,262.5,13303174,FB,XNAS,2020-08-17T00:00:00+0000
262.305,262.65,258.6801,261.24,14705070,262.65,258.6801,261.24,262.305,14705070,FB,XNAS,2020-08-14T00:00:00+0000
261.55,265.16,259.57,261.3,17336346,265.16,259.57,261.3,261.55,17336346,FB,XNAS,2020-08-13T00:00:00+0000
258.97,263.8973,258.1125,259.89,21360539,263.8973,258.1125,259.89,258.97,21360539,FB,XNAS,2020-08-12T00:00:00+0000
260.185,265.915,255.13,256.13,28006281,265.915,255.13,256.13,260.185,28006281,FB,XNAS,2020-08-11T00:00:00+0000
268.04,273.86,259.69,263,30248826,273.86,259.69,263,268.04,30248826,FB,XNAS,2020-08-10T00:00:00+0000
264.08,278.89,263.43,268.44,72766364,278.89,263.43,268.44,264.08,72766364,FB,XNAS,2020-08-07T00:00:00+0000
249.04,266.6,248.665,265.28,45241611,266.6,248.665,265.28,249.04,45241611,FB,XNAS,2020-08-06T00:00:00+0000
250.19,252.2698,247.77,249.12,13088361,252.2698,247.77,249.12,250.19,13088361,FB,XNAS,2020-08-05T00:00:00+0000
251.56,252.8,247.43,249.83,17183533,252.8,247.43,249.83,251.56,17183533,FB,XNAS,2020-08-04T00:00:00+0000
252.65,255.4,250.33,251.96,23134103,255.4,250.33,251.96,252.65,23134103,FB,XNAS,2020-08-03T00:00:00+0000
255.82,255.85,249,253.67,53030037,255.85,249,253.67,255.82,53030037,FB,XNAS,2020-07-31T00:00:00+0000
230.22,234.893,229,234.5,20615306,234.893,229,234.5,230.22,20615306,FB,XNAS,2020-07-30T00:00:00+0000
231.14,233.7,230.31,233.29,13588317,233.7,230.31,233.29,231.14,13588317,FB,XNAS,2020-07-29T00:00:00+0000
234.63,234.96,229.83,230.12,14170112,234.96,229.83,230.12,234.63,14170112,FB,XNAS,2020-07-28T00:00:00+0000
231.46,234.95,230.83,233.5,13163083,234.95,230.83,233.5,231.46,13163083,FB,XNAS,2020-07-27T00:00:00+0000
230.19,233.49,226.9,230.71,18325813,233.49,226.9,230.71,230.19,18325813,FB,XNAS,2020-07-24T00:00:00+0000
239.63,242.42,231.75,232.6,21771802,242.42,231.75,232.6,239.63,21771802,FB,XNAS,2020-07-23T00:00:00+0000
240.26,241.9,238.12,239.87,15235700,241.9,238.12,239.87,240.26,15235700,FB,XNAS,2020-07-22T00:00:00+0000
246.22,246.91,240.08,241.75,18646800,246.91,240.08,241.75,246.22,18646800,FB,XNAS,2020-07-21T00:00:00+0000
240.06,246.05,235.64,245.42,20797400,246.05,235.64,245.42,240.06,20797400,FB,XNAS,2020-07-20T00:00:00+0000
241,244.16,237.86,242.03,18051900,244.16,237.86,242.03,241,18051900,FB,XNAS,2020-07-17T00:00:00+0000
238,241.76,236.33,240.93,18597700,241.76,236.33,240.93,238,18597700,FB,XNAS,2020-07-16T00:00:00+0000
241.55,244.82,238.05,240.28,18581400,244.82,238.05,240.28,241.55,18581400,FB,XNAS,2020-07-15T00:00:00+0000
236.76,240.33,232.03,239.73,23155700,240.33,232.03,239.73,236.76,23155700,FB,XNAS,2020-07-14T00:00:00+0000
247.01,250.15,238.42,239,24332200,250.15,238.42,239,247.01,24332200,FB,XNAS,2020-07-13T00:00:00+0000
243.69,245.49,239.32,245.07,22843000,245.49,239.32,245.07,243.69,22843000,FB,XNAS,2020-07-10T00:00:00+0000
245,246.52,239.24,244.5,22033200,246.52,239.24,244.5,245,22033200,FB,XNAS,2020-07-09T00:00:00+0000
238.11,246.99,236.59,243.58,29687000,246.99,236.59,243.58,238.11,29687000,FB,XNAS,2020-07-08T00:00:00+0000
239.41,247.65,238.82,240.86,27437200,247.65,238.82,240.86,239.41,27437200,FB,XNAS,2020-07-07T00:00:00+0000
233.76,240.4,232.27,240.28,25604400,240.4,232.27,240.28,233.76,25604400,FB,XNAS,2020-07-06T00:00:00+0000
239,240,232.61,233.42,30437010,240,232.61,233.42,239,30437010,FB,XNAS,2020-07-02T00:00:00+0000
228.5,239,227.56,237.55,43113443,239,227.56,237.55,228.5,43113443,FB,XNAS,2020-07-01T00:00:00+0000
220.59,227.5,218.47,227.07,33849335,227.5,218.47,227.07,220.59,33849335,FB,XNAS,2020-06-30T00:00:00+0000
209.75,220.75,207.11,220.64,58287669,220.75,207.11,220.64,209.75,58287669,FB,XNAS,2020-06-29T00:00:00+0000
232.64,233.09,215.4,216.08,75500103,233.09,215.4,216.08,232.64,75500103,FB,XNAS,2020-06-26T00:00:00+0000
234.62,237.3,232.74,235.68,18380605,237.3,232.74,235.68,234.62,18380605,FB,XNAS,2020-06-25T00:00:00+0000
241.2,243.22,232.68,234.02,20668057,243.22,232.68,234.02,241.2,20668057,FB,XNAS,2020-06-24T00:00:00+0000
241.28,245.1853,239.86,242.24,23929414,245.1853,239.86,242.24,241.28,23929414,FB,XNAS,2020-06-23T00:00:00+0000
238.56,240.7,236.91,239.22,18833031,240.7,236.91,239.22,238.56,18833031,FB,XNAS,2020-06-22T00:00:00+0000
237.79,240.83,235.55,238.79,30081291,240.83,235.55,238.79,237.79,30081291,FB,XNAS,2020-06-19T00:00:00+0000
234.99,236.14,232.15,235.94,15782452,236.14,232.15,235.94,234.99,15782452,FB,XNAS,2020-06-18T00:00:00+0000
235,237.59,231.7268,235.53,19578125,237.59,231.7268,235.53,235,19578125,FB,XNAS,2020-06-17T00:00:00+0000
237.14,238.46,233,235.65,15236691,238.46,233,235.65,237.14,15236691,FB,XNAS,2020-06-16T00:00:00+0000
225.09,233.77,224.8,232.5,15194927,233.77,224.8,232.5,225.09,15194927,FB,XNAS,2020-06-15T00:00:00+0000
229.9,231.66,224.5,228.58,22091387,231.66,224.5,228.58,229.9,22091387,FB,XNAS,2020-06-12T00:00:00+0000
229.94,232.89,223.55,224.43,26708163,232.89,223.55,224.43,229.94,26708163,FB,XNAS,2020-06-11T00:00:00+0000
240.96,241.21,235.28,236.73,20720709,241.21,235.28,236.73,240.96,20720709,FB,XNAS,2020-06-10T00:00:00+0000
231.52,239.77,230.41,238.67,27305863,239.77,230.41,238.67,231.52,27305863,FB,XNAS,2020-06-09T00:00:00+0000
229.03,231.55,227.41,231.4,15466499,231.55,227.41,231.4,229.03,15466499,FB,XNAS,2020-06-08T00:00:00+0000
226.71,231.35,225.3105,230.77,16359631,231.35,225.3105,230.77,226.71,16359631,FB,XNAS,2020-06-05T00:00:00+0000
229.56,231.63,224.61,226.29,16888846,231.63,224.61,226.29,229.56,16888846,FB,XNAS,2020-06-04T00:00:00+0000
232.11,232.65,228.53,230.16,15312623,232.65,228.53,230.16,232.11,15312623,FB,XNAS,2020-06-03T00:00:00+0000
230.94,233,226.56,232.72,20919018,233,226.56,232.72,230.94,20919018,FB,XNAS,2020-06-02T00:00:00+0000
224.59,232.44,223.5,231.91,18223839,232.44,223.5,231.91,224.59,18223839,FB,XNAS,2020-06-01T00:00:00+0000
225.2,227.49,222.88,225.09,23322476,227.49,222.88,225.09,225.2,23322476,FB,XNAS,2020-05-29T00:00:00+0000
224.3,231.6332,224,225.46,29423013,231.6332,224,225.46,224.3,29423013,FB,XNAS,2020-05-28T00:00:00+0000
229.07,230.56,221.1347,229.14,34697553,230.56,221.1347,229.14,229.07,34697553,FB,XNAS,2020-05-27T00:00:00+0000
239.77,240.9,231.67,232.2,33178318,240.9,231.67,232.2,239.77,33178318,FB,XNAS,2020-05-26T00:00:00+0000
231.51,235.99,228.74,234.91,33925564,235.99,228.74,234.91,231.51,33925564,FB,XNAS,2020-05-22T00:00:00+0000
234.72,237.2,231.2,231.39,47577915,237.2,231.2,231.39,234.72,47577915,FB,XNAS,2020-05-21T00:00:00+0000
223.5,231.34,223.19,229.97,50162875,231.34,223.19,229.97,223.5,50162875,FB,XNAS,2020-05-20T00:00:00+0000
213.27,220.49,212.83,216.88,31843152,220.49,212.83,216.88,213.27,31843152,FB,XNAS,2020-05-19T00:00:00+0000
212.15,214.6445,210.94,213.19,20167443,214.6445,210.94,213.19,212.15,20167443,FB,XNAS,2020-05-18T00:00:00+0000
205.27,211.34,204.12,210.88,19383154,211.34,204.12,210.88,205.27,19383154,FB,XNAS,2020-05-15T00:00:00+0000
202.56,206.93,200.69,206.81,17178947,206.93,200.69,206.81,202.56,17178947,FB,XNAS,2020-05-14T00:00:00+0000
209.43,210.78,202.11,205.1,20684559,210.78,202.11,205.1,209.43,20684559,FB,XNAS,2020-05-13T00:00:00+0000
213.29,215.275,210,210.1,14704647,215.275,210,210.1,213.29,14704647,FB,XNAS,2020-05-12T00:00:00+0000
210.8865,215,210.37,213.18,12911948,215,210.37,213.18,210.8865,12911948,FB,XNAS,2020-05-11T00:00:00+0000
212.24,213.21,210.85,212.35,12524048,213.21,210.85,212.35,212.24,12524048,FB,XNAS,2020-05-08T00:00:00+0000
211.16,211.6,209.04,211.26,15151976,211.6,209.04,211.26,211.16,15151976,FB,XNAS,2020-05-07T00:00:00+0000
208.12,211.6,206.66,208.47,21856963,211.6,206.66,208.47,208.12,21856963,FB,XNAS,2020-05-06T00:00:00+0000
207.02,210.38,206.5,207.07,21071223,210.38,206.5,207.07,207.02,21071223,FB,XNAS,2020-05-05T00:00:00+0000
200.2,205.91,198.7562,205.26,19250673,205.91,198.7562,205.26,200.2,19250673,FB,XNAS,2020-05-04T00:00:00+0000
201.6,207.28,199.0501,202.27,30415581,207.28,199.0501,202.27,201.6,30415581,FB,XNAS,2020-05-01T00:00:00+0000
206.92,209.69,201.5701,204.71,46230116,209.69,201.5701,204.71,206.92,46230116,FB,XNAS,2020-04-30T00:00:00+0000
