open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,symbol,exchange,date
39.24,39.49,38.5101,38.93,9765204,39.49,38.5101,38.93,39.24,9765204,TWTR,XNYS,2020-09-11T00:00:00+0000
39.79,40.4,38.82,38.95,10412334,40.4,38.82,38.95,39.79,10412334,TWTR,XNYS,2020-09-10T00:00:00+0000
38.85,39.81,38.33,39.56,10743999,39.81,38.33,39.56,38.85,10743999,TWTR,XNYS,2020-09-09T00:00:00+0000
38.52,39.18,38.1,38.19,15760619,39.18,38.1,38.19,38.52,15760619,TWTR,XNYS,2020-09-08T00:00:00+0000
41.2,41.49,38.4301,39.87,17738424,41.49,38.4301,39.87,41.2,17738424,TWTR,XNYS,2020-09-04T00:00:00+0000
42.74,43,40.96,41.63,18601193,43,40.96,41.63,42.74,18601193,TWTR,XNYS,2020-09-03T00:00:00+0000
41.52,44.09,41.36,43.67,26457598,44.09,41.36,43.67,41.52,26457598,TWTR,XNYS,2020-09-02T00:00:00+0000
40.61,41.245,40.14,41.15,10358603,41.245,40.14,41.15,40.61,10358603,TWTR,XNYS,2020-09-01T00:00:00+0000
40.99,41.07,40.565,40.58,7326911,41.07,40.565,40.58,40.99,7326911,TWTR,XNYS,2020-08-31T00:00:00+0000
40.5,41.17,40.42,41.07,7714438,41.17,40.42,41.07,40.5,7714438,TWTR,XNYS,2020-08-28T00:00:00+0000
40.97,41.25,40.07,40.39,12952237,41.25,40.07,40.39,40.97,12952237,TWTR,XNYS,2020-08-27T00:00:00+0000
40.55,41.33,40,41.08,11880499,41.33,40,41.08,40.55,11880499,TWTR,XNYS,2020-08-26T00:00:00+0000
40.44,40.699,39.32,40.55,12386074,40.699,39.32,40.55,40.44,12386074,TWTR,XNYS,2020-08-25T00:00:00+0000
39.68,40.8,39.64,40.49,20448337,40.8,39.64,40.49,39.68,20448337,TWTR,XNYS,2020-08-24T00:00:00+0000
38.99,39.39,38.7,39.26,9626880,39.39,38.7,39.26,38.99,9626880,TWTR,XNYS,2020-08-21T00:00:00+0000
38.62,39,38.3,38.96,7720662,39,38.3,38.96,38.62,7720662,TWTR,XNYS,2020-08-20T00:00:00+0000
38.09,39.52,38.06,38.89,17048143,39.52,38.06,38.89,38.09,17048143,TWTR,XNYS,2020-08-19T00:00:00+0000
38.28,38.46,37.74,38.01,8534532,38.46,37.74,38.01,38.28,8534532,TWTR,XNYS,2020-08-18T00:00:00+0000
37.95,38.09,37.27,37.97,10116820,38.09,37.27,37.97,37.95,10116820,TWTR,XNYS,2020-08-17T00:00:00+0000
37.74,37.96,37.28,37.9,10239273,37.96,37.28,37.9,37.74,10239273,TWTR,XNYS,2020-08-14T00:00:00+0000
37.43,38.27,37.37,37.82,13209933,38.27,37.37,37.82,37.43,13209933,TWTR,XNYS,2020-08-13T00:00:00+0000
37.5,38,36.8207,37.44,11000404,38,36.8207,37.44,37.5,11000404,TWTR,XNYS,2020-08-12T00:00:00+0000
37.59,39,36.71,37.28,20404917,39,36.71,37.28,37.59,20404917,TWTR,XNYS,2020-08-11T00:00:00+0000
38.36,39.17,37.31,37.44,29298411,39.17,37.31,37.44,38.36,29298411,TWTR,XNYS,2020-08-10T00:00:00+0000
37.42,38.025,36.73,37.14,11341053,38.025,36.73,37.14,37.42,11341053,TWTR,XNYS,2020-08-07T00:00:00+0000
36.85,37.81,36.49,37.69,10478861,37.81,36.49,37.69,36.85,10478861,TWTR,XNYS,2020-08-06T00:00:00+0000
36.56,37.34,36.41,36.79,10052108,37.34,36.41,36.79,36.56,10052108,TWTR,XNYS,2020-08-05T00:00:00+0000
35.92,36.61,35.65,36.35,10596685,36.61,35.65,36.35,35.92,10596685,TWTR,XNYS,2020-08-04T00:00:00+0000
36.41,36.89,35.9038,36.39,15488023,36.89,35.9038,36.39,36.41,15488023,TWTR,XNYS,2020-08-03T00:00:00+0000
37.33,37.33,35.97,36.4,18551547,37.33,35.97,36.4,37.33,18551547,TWTR,XNYS,2020-07-31T00:00:00+0000
36.73,37.105,36.38,36.72,9997391,37.105,36.38,36.72,36.73,9997391,TWTR,XNYS,2020-07-30T00:00:00+0000
36.97,37.25,36.73,37.16,10675567,37.25,36.73,37.16,36.97,10675567,TWTR,XNYS,2020-07-29T00:00:00+0000
36.45,37.32,36.41,36.61,13566849,37.32,36.41,36.61,36.45,13566849,TWTR,XNYS,2020-07-28T00:00:00+0000
37.5799,37.59,36.09,36.85,22911333,37.59,36.09,36.85,37.5799,22911333,TWTR,XNYS,2020-07-27T00:00:00+0000
38.28,38.54,37.14,37.54,23068344,38.54,37.14,37.54,38.28,23068344,TWTR,XNYS,2020-07-24T00:00:00+0000
37.65,40.26,37.5,38.44,90266687,40.26,37.5,38.44,37.65,90266687,TWTR,XNYS,2020-07-23T00:00:00+0000
36.97,37.42,36.25,36.94,18098500,37.42,36.25,36.94,36.97,18098500,TWTR,XNYS,2020-07-22T00:00:00+0000
37.79,38.5,37,37.01,19261900,38.5,37,37.01,37.79,19261900,TWTR,XNYS,2020-07-21T00:00:00+0000
35.8,37.17,35.8,37.06,16854000,37.17,35.8,37.06,35.8,16854000,TWTR,XNYS,2020-07-20T00:00:00+0000
35.31,36,34.73,35.81,18561200,35.999,34.73,35.81,35.31,18561200,TWTR,XNYS,2020-07-17T00:00:00+0000
34.13,35.58,34,35.28,24322700,35.58,34,35.28,34.13,24322700,TWTR,XNYS,2020-07-16T00:00:00+0000
35.12,35.8,34.62,35.67,15906500,35.8,34.6207,35.67,35.12,15906500,TWTR,XNYS,2020-07-15T00:00:00+0000
33.53,34.66,33.44,34.38,18520000,34.66,33.44,34.38,33.53,18520000,TWTR,XNYS,2020-07-14T00:00:00+0000
35.72,36.21,33.76,33.82,22460900,36.21,33.76,33.82,35.72,22460900,TWTR,XNYS,2020-07-13T00:00:00+0000
35.46,35.76,34.86,35.4,15231000,35.76,34.86,35.4,35.46,15231000,TWTR,XNYS,2020-07-10T00:00:00+0000
35.88,36.18,34.81,35.72,34609400,36.18,34.81,35.72,35.88,34609400,TWTR,XNYS,2020-07-09T00:00:00+0000
33.2,36.98,32.73,35.41,109580900,36.98,32.73,35.41,33.2,109580900,TWTR,XNYS,2020-07-08T00:00:00+0000
31.96,33.67,31.76,32.99,27913100,33.67,31.76,32.99,31.96,27913100,TWTR,XNYS,2020-07-07T00:00:00+0000
31.55,32.81,31.16,32.34,22288100,32.81,31.16,32.34,31.55,22288100,TWTR,XNYS,2020-07-06T00:00:00+0000
31.3,31.4,30.395,30.87,14541379,31.4,30.395,30.87,31.3,14541379,TWTR,XNYS,2020-07-02T00:00:00+0000
30.15,31.17,30.06,30.81,20760218,31.17,30.06,30.81,30.15,20760218,TWTR,XNYS,2020-07-01T00:00:00+0000
29.63,29.82,29.02,29.79,20545103,29.82,29.02,29.79,29.63,20545103,TWTR,XNYS,2020-06-30T00:00:00+0000
28.51,30.035,28.23,29.49,27465058,30.035,28.23,29.49,28.51,27465058,TWTR,XNYS,2020-06-29T00:00:00+0000
31.12,31.32,28.75,29.05,56780341,31.32,28.75,29.05,31.12,56780341,TWTR,XNYS,2020-06-26T00:00:00+0000
31.54,31.605,30.82,31.37,17788674,31.605,30.82,31.37,31.54,17788674,TWTR,XNYS,2020-06-25T00:00:00+0000
32.53,33.06,31.34,31.73,16578305,33.06,31.34,31.73,32.53,16578305,TWTR,XNYS,2020-06-24T00:00:00+0000
